guid,tag
8,negative
1576,positive
2320,positive
4912,positive
3821,negative
1306,negative
4555,positive
259,positive
3216,positive
881,negative
1037,positive
2463,positive
3760,negative
3102,positive
4074,positive
2155,positive
5009,positive
3292,positive
3599,positive
1061,positive
3927,positive
4461,positive
716,negative
2505,positive
1803,negative
2157,positive
1612,negative
4052,positive
3641,positive
5097,positive
2358,negative
349,positive
4710,positive
2991,positive
459,positive
1737,negative
1993,negative
116,positive
2949,positive
2792,positive
1580,positive
2021,positive
4843,positive
4827,positive
3119,negative
3298,positive
4541,negative
1952,positive
1839,positive
2127,positive
3872,positive
3023,positive
2351,positive
4507,positive
600,positive
1516,positive
4601,positive
1046,negative
1227,positive
4378,negative
4357,negative
4094,positive
5027,negative
1969,positive
4754,negative
861,positive
136,negative
4466,negative
4916,positive
1025,positive
4922,positive
1233,positive
1173,positive
532,negative
51,positive
3008,positive
1578,negative
4945,positive
2572,positive
173,positive
3439,positive
755,positive
2918,positive
1417,positive
3152,positive
121,positive
780,positive
4319,positive
1191,neutral
1573,positive
1406,positive
3955,negative
2904,positive
2721,positive
58,positive
3149,positive
3690,negative
3243,positive
3476,positive
1393,positive
3362,positive
1552,positive
2348,positive
1863,positive
3003,positive
1949,positive
2137,positive
4500,positive
2823,positive
1021,positive
3103,positive
4981,positive
3110,positive
824,positive
1999,positive
1769,positive
4038,negative
2499,positive
4287,negative
4913,positive
3181,positive
4578,positive
1446,positive
1269,positive
2803,positive
1099,positive
96,negative
749,positive
489,positive
3464,positive
4910,negative
5000,positive
2717,positive
939,positive
4944,positive
4560,positive
4471,positive
313,negative
3002,positive
204,positive
4082,positive
960,positive
740,positive
31,positive
3324,positive
264,neutral
1922,positive
3424,positive
1192,positive
4603,positive
570,positive
2668,positive
1645,positive
3271,positive
89,positive
3975,positive
3397,positive
3638,positive
1228,positive
2744,positive
4545,negative
730,positive
2958,positive
1717,positive
1324,positive
4312,negative
3374,positive
4430,negative
3945,positive
290,positive
4061,positive
1168,positive
1667,positive
3139,negative
964,negative
3495,negative
932,positive
4483,positive
3227,positive
5108,positive
1931,negative
5040,positive
3174,negative
1381,negative
2800,negative
4911,positive
1768,negative
4087,positive
1648,negative
3909,negative
4348,positive
3170,negative
3774,positive
3492,positive
1994,positive
2971,negative
5043,negative
4552,positive
4372,positive
1682,negative
4046,positive
4022,positive
174,positive
4387,positive
677,negative
1133,negative
429,positive
4040,positive
2114,positive
3998,negative
1020,positive
2676,positive
2367,positive
5037,negative
2863,negative
2988,positive
2746,positive
1431,positive
2550,positive
286,positive
739,negative
3348,positive
3948,negative
3224,positive
1096,positive
1584,positive
3660,positive
3898,positive
751,negative
3963,negative
3891,positive
312,positive
867,negative
3268,positive
1697,negative
1791,positive
3701,positive
2055,negative
3914,positive
3572,negative
1660,positive
2943,positive
424,positive
1285,positive
3039,negative
1642,negative
1111,negative
1539,negative
3401,neutral
2098,positive
3400,positive
4345,positive
1352,positive
4681,positive
3005,negative
2362,negative
2154,negative
1512,positive
2677,positive
848,positive
1243,positive
3637,positive
1990,positive
2627,positive
948,positive
5039,positive
1587,positive
55,positive
4738,positive
4205,positive
3494,negative
2758,negative
479,positive
1898,positive
3046,negative
1088,positive
1039,positive
1875,positive
1100,neutral
224,positive
2585,positive
2888,positive
1309,negative
4693,positive
3651,positive
383,positive
1057,positive
2607,negative
3306,positive
310,positive
2646,negative
1490,positive
4860,positive
1606,positive
3554,positive
3580,positive
4947,positive
3889,positive
5,positive
2704,positive
3346,positive
2480,positive
3842,positive
4807,positive
3001,positive
4715,neutral
4410,negative
1290,positive
4644,positive
4294,positive
4847,positive
2750,positive
1861,positive
4272,positive
617,positive
1574,positive
2332,positive
1974,positive
3399,positive
3714,negative
5092,positive
2709,positive
1435,negative
4449,positive
2939,negative
1429,positive
145,positive
250,positive
4871,positive
1868,positive
1508,positive
4811,positive
3222,negative
566,positive
558,positive
38,positive
533,positive
2527,negative
2078,negative
3731,positive
124,positive
4774,positive
967,positive
3016,positive
2911,positive
4613,positive
4201,positive
4877,positive
4306,positive
3671,negative
4255,negative
1105,positive
1806,positive
3061,positive
1830,positive
3417,positive
60,positive
1933,positive
3022,positive
2635,negative
2815,positive
1301,positive
575,positive
4925,positive
4112,positive
5127,negative
4795,positive
334,positive
3126,positive
912,positive
3969,positive
3451,positive
3336,negative
923,negative
2737,negative
2443,positive
1312,negative
3505,positive
2764,negative
4580,positive
3854,negative
2570,negative
2989,positive
2115,positive
3462,positive
1699,negative
4898,positive
4138,positive
1866,positive
2915,negative
1635,positive
1908,negative
4030,positive
4771,positive
3248,positive
494,neutral
3161,positive
20,positive
3300,positive
4242,positive
1476,positive
1879,positive
1384,positive
1616,positive
4376,positive
3884,positive
2026,positive
4291,positive
4790,positive
657,negative
2873,positive
812,positive
2893,negative
3296,negative
126,positive
2469,positive
3206,positive
2019,positive
916,positive
4621,positive
1620,negative
184,positive
5017,positive
1201,positive
5111,positive
4417,positive
4431,negative
4434,positive
4920,positive
272,positive
279,positive
3020,positive
2325,positive
2858,positive
4288,negative
1596,positive
803,positive
4363,positive
1895,positive
3044,positive
4721,positive
698,negative
1426,positive
2016,positive
3745,positive
4903,negative
534,positive
3650,positive
3371,positive
112,positive
176,negative
573,negative
4919,negative
3276,positive
480,negative
87,negative
911,positive
3705,positive
3082,positive
2537,negative
4450,positive
1497,positive
3083,positive
443,positive
2957,positive
2099,negative
2962,positive
460,positive
1918,positive
3052,negative
13,positive
863,positive
1252,positive
3570,positive
4684,positive
2046,negative
1537,positive
2555,neutral
1052,positive
1713,positive
2597,positive
282,positive
3833,negative
4885,positive
4587,positive
1401,negative
1281,positive
2085,negative
565,positive
1205,positive
1560,positive
4064,positive
1036,positive
2606,negative
4777,positive
588,positive
609,positive
3279,positive
3511,positive
4796,positive
2107,positive
1106,positive
3395,negative
2546,positive
4678,positive
1000,negative
1048,positive
1059,positive
1485,positive
3195,positive
2029,positive
